,Comentario
185,"9GgonzaloMar 17, 2024Prince of Persia: The Lost Crown es, a ciencia cierta, uno de los mejores metroidvanias del año.
En un momento en el que el genero carece de originalidad debido a la constante explotación a la que esta sometido,Ubisoft (por sorprendente que parezca) a sabido innovar.
Uno de sus puntos más fuertes es el combate. Por una parte, se basa en el uso de un simple pero efectivo sistema de combos, el cual, gracias a la variedad de enemigos, originalidad de las habilidades y profundidad dada por los amuletos, lo vuelve uno de los mejores con nada que envidiar a juegos como Hollow Knigt.
Por otro lado, haciendo honor a la saga a la que pertece, el juego dispone de un parkour fluido, complejo y super disfrutable con el cual puedes pasar horas sin aburrirte.
Y ya finalmente tenemos el mapa. Si bien es cierto que no es de los más complejos, cumple con su función y hace que cualquier jugador se pueda perder en el y pasar infinidad de horas.

Si tuviera que mencionar algo malo sería sin duda su historia la cual,si bien no esta puesta como una excusa, es completamente olvidable.
Con esto, Prince of Persia: The Lost Crown es una joya de ubisoft que te recomiendo jugar esté al precio que esté (Aunque en ofertas siempre será mejor). Ya estoy ansioso de las nuevas actualizaciones gratis y del DLC para poder rejugarlo.Read More"
186,"8jayyfeathrMar 17, 2024The story is catchy, and by the end you’ll be somewhat of an aem Jaír expert on Ancient Persian history and mythology!
The puzzles and gameplay are really quite good, if you like other 2d platformers. The accessibility/control customizability is 11/10: anyone can have a good time playing this whether you’re a hardcore vet or it’s your first game ever.

Also, Ubisoft did not use this game to showcase how  much costly DLC costumes and addons they can offer, which is highly appreciated.Read More"
187,"0spaghettiballsMar 15, 2024Why are people pretending this game is good lmao. Some of the worst level design, puzzle design, and boss design I've ever seen. Mixed in with clunky unresponsible controls. Even Indivisible is better than this."
188,"10SkitzofreniqMar 3, 2024If you enjoy Metroid, Hollow Knight type games then this is the game for you. Hell, even some of the puzzles reminded me of Celeste, which is also a game that I adore!
Great atmosphere, great gameplay, great music, great voice acting. All in all a great game! Kudos to all involved"
189,"10SiomeArchangelMar 3, 2024near perfection, hard, good story, good biomes, great mechanics. By far the best metroidvania of those 20 last years."
190,"10TinostephanoiMar 2, 2024Non habitué à ce genre de jeux j'ai voulu tenter  l'expérience parce que j'avais  trop envie de retrouver  le Prince de Perse.
Je m'attendais à abandonné tres vite car le jeux serait trop difficile mais pas du tout la difficulté est parfaitement pensé. 
Plus habitué à faire des grand open worl ce jeux m'a clairement donné envie d'essayer d'autres jeux du même genre.Read More"
191,"9CharlesDucheminMar 2, 2024Malditos bugs. Por lo demás, un juegazo: divertido, adictivo, variado, bonito. Quiero más, Bugisoft."
192,"9P1x3lMar 1, 2024Short reviews from a casual gamer - should you buy? Yes (details below).

This is my first dive into the Prince of Persia universe so bear that in mind when you read this small review, as I understand that most of the criticism with this game is the fact it's not your traditional Prince of Persia experience.

This game is utterly fantastic, I really admire the art style, almost a comic book feel. The game itself is a mixture of a classic Metroidvania and to a lesser extent, Dark Souls with intense and mostly difficult Boss Battles with move sets you need to learn and punish.

The game whilst being at it's core, a Metroidvania, is surprisingly deep with RPG elements such as gear upgrades, new amulets and special moves which ensures the formula does not get stale. 

Overall, the game drew me in almost immediately and I would strongly recommend you give it a try, providing you are not going into The Lost Crown with the expectation of it being your 'typical' Prince of Persia experience.Read More"
193,"9RycerzFeb 26, 2024Afgelopen weekend deze uitgespeeld en Platinum behaald.
Graphics; 
Goed. Doet zijn werk. Is vloeiend en duidelijk. Veel variatie in omgevingen. 
Alleen qua stijl, erg safe. 
Geluid;
Goede voice acting en fijne cool down muziek bij exploring en goede rock bij intense gevechten. Wederom goed maar erg safe.
Gameplay;
Na Metroid Dread de beste Metroidvania game op de current gen consoles. 
Super level design. Enorme variatie. Verhaal is goed. En een goede Platinum run.
Skill in platforming is wel verreist.
Power ups zorgen voor een fijne flow in de voortgang.
De 2 grote minpunten. Weinig vernieuwend en na uitspelen, weinig replay waarde.Read More"
194,"9LeFusilNintendoFeb 22, 2024Le jeu est vraiment cool avec une nouvelle histoire 
Incroyable!!!

C'est un renouveau incroyable pour une serie que je pensais ne jamais revoir. 

Un super 
Metroidvania"
195,"10LiemvmFeb 22, 2024Tôi đã từng chơi prince of persia trên đt nokia , giờ đây tôi có thể quay về tuổi thơ của mình với một siêu phẩm. 
Câu chuyện cuốn hút , tuy nhiên , về cuối có chút hụt hẫn khi cốt truyện quá nhanh. Gameplay tuyệt vời , độ khó có thể như những dòng game soul , rất nhiều hướng build cho nhân vật chính ,câu đố không quá khó đủ để dành sức ra suy nghĩ .
Đây là 1 trong những tựa game hay nhất tôi chơi từ đầu năm nay , hy vọng sẽ góp mặt trong GOTYRead More"
196,"8HerlebaldFeb 22, 2024Un très bon jeu de plate-forme !
Toutefois j'ai été surpris de la difficulté en mode normal (guerrier). Certains boss sont très costauds et il vous faudra connaître leurs attaques par coeur et comment les parer si vous souhaitez tenter le niveau immortel. Heureusement que les dégâts sont paramétrables.
Certaines plate-forme sont un véritable challenge demandant une dextérité sans faille pour espérer passer. Là aussi, il est possible d'éviter ces passages via l'activation d'un paramètre. 
Trouver tous les objets, coffres où amulette s pour faire le 100% demandent de nombreuses heures car la carte est très vaste.Read More"
197,"9FangRuFeb 22, 2024I generally do not play platforming games but this one I really enjoyed. Mechanics and gameplay are really smooth, art style is amazing and early difficulty is real."
198,"4OzanDKFeb 21, 2024I didn't like the graphics, but overall mechanics looks ok. Does this game deserve a  chance? IDK??"
199,"8briltFeb 21, 2024really fun metroidvania .... the platforming requires a lot of attention and can get into a little gray area of challenging and frustrating ... but overall really enjoyed it and finished it in about 30+ hours did all the side quests and found most of the items. 

Dropped to an 8 instead of 9 because it was a little buggy ... i needed to restart my ps5 a few times through my playthrough to fix reset some issues with powers 

I would have given a 9 if there was a new game +Read More"
200,"9Commando261187Feb 18, 2024If you started gaming as a kid in the 90s this game is exactly what you want. Beautiful art style, challenging and evolving combat, puzzles galore.

I actually thought I was past this platform style but Lost Crown brought me right back and got me thinking how much I would love more Metroid, Alien, Robocop, Judge Dredd games.

For the price it is a lot of game, never mind the 20 hour length nonsense. It's more like 30 unless you are either a cheat or a genius. Your dexterity better be good is all I will say because there are even times when you are patting yourself on the back for just jumping around.Read More"
201,"7ZintrulCreFeb 16, 20241. The overall difficulty is high, requiring a solid grasp of game mechanics even on the lowest setting.
2. High repetition: Every teleportation requires going to the position, leading to significant time wasted on meaningless travelling.
3. The plot is average, with many untold stories and hastily concluded characters, and the campaign is relatively short, taking around 10 hours to complete.Read More"
202,"10JAYGAMING029Feb 14, 2024Prince of Persia The Lost Crown is a beautiful game with impressive art and character design. The fluent gameplay and traversal elements all come together during its epic boss fights. Through exploration of its many environments, you will be well rewarded for your efforts upon completion of simple but rather fun puzzles. As you progress you will unlock tons of new abilities that can be used both in combat and parkour. The game's huge enemy variety keeps you on your feet while giving you a challenge. To finish things off the side content was mostly enjoyable and the OST was remarkable. My experience with Prince of Persia was truly special and for my first Metroidvania game, I was blown away! Ubisoft's best game!!Read More"
203,"10Kwjduff98Feb 13, 2024Phoenomenal in every single way. Love it. From the beautiful art style, immensely satisfying combat and great platforming. A must have."
204,"10Rallianto_RexFeb 13, 2024One of the best metroidvania games I've ever played. Never thought an actual good game would come out of Ubisoft. Game is amazing and runs amazing on all platforms, even Switch got 60fps."
205,"9JRGonzalezFeb 12, 2024Buena historia, control fantástico, se van desbloqueando nuevas habilidades conforme se avanza y resulta un juego muy divertido, motivador y te genera ganas de seguir. Muy viciado"
206,"10IsmaelNoisyFeb 12, 2024Um dos melhores Metroidvania ja feitos ! Gameplay refinada e responsiva , progressão excelente, level designe impecável, desafios de plataforma e de combate super bem trabalhados, boss fighters incríveis, gráficos competentes, boa historia, enfim, um pacote completo no gênero. Podemos dizer que é um AAA Metroidvania.Read More"
207,"9InnerDXFeb 11, 2024One of the better Metroidvania games I've played in a while. And while the story is generally serviceable, it had a moment or two that stood out. Highly recommend it!"
208,"10anonymousnerdFeb 10, 2024Brilliantly made game. Will definitely replay it many times. Some bugs, but nothing that makes or breaks the game. Would highly recommend!"
209,"10UghhhFeb 4, 2024Daaaaamn this game is good! Exploration amd platforming are great. Combat is diverse and fun, and challenging enough to keep you at the edge of your seat, without ever becoming frustrating."
210,"10ArrakisEyesFeb 9, 2024An amazing game to start the new year   , everything was perfect for this game, specially the art direction . I have been enjoyed platinum this game. Special thanks to Ubisoft for this masterpiece. I hope this games sells well so we can get more of Prince of persia."
211,"10RanGom007Feb 8, 2024С настолько сильным интересом я давно ни во что не играл. 38 часов чистого удовольствия от игрового процесса. Признаюсь , сомневался в качестве из-за плохой рекламы, но игра очень сильно удивила. Разработчики красавцы !

I haven't played anything for a long time with such a strong interest. 38 hours of pure gameplay fun. I admit, I doubted the quality due to bad advertising, but the game surprised me very much. The developers are handsome!Read More"
212,"8Bunker91Feb 8, 2024Un buen juego. Esta entretenido. Para ser de ubisoft es diferente de todo catalogo, como volviendo a los origenes pero actualizado. Si no fuera por los bugs tendria mas nota."
213,"7RefinedInsightsJan 30, 2024Average most of the time, decent at best, action is boring and repetitive, navigation is tedious, puzzles are not very fun, and the story is a cliche."
214,"9LMSZuluFeb 8, 2024The best game I've played in a long time.I really hope there is DLS for this. Game play, graphics, are incredible, it's a big game and took me well over the 20 hours I read it takes."
215,"10WeiKaalyFeb 7, 2024Easily the best 2d metrovania because the combat is really fun! The platforming is good and the story actually has effort compared to other metrovania. This is the best PoP since its SOT. 

I really hope one day this combat and PoP platforming can be translated into the 3d space"
216,"9mpeskFeb 6, 2024Very good Metroidvania and inspired by Hollow Knight too. The combat system is deep and versatile, depending of talisman and special moves equipped you can completely change the combat style. The combinations of button is maybe a little confusing at the beginning, but after a few hours of playing you get used to it. This game has also a good story, well written and explained. Wonderful graphic style, even though in some cut scene it could be a little better. Overall there are some minor bugs, which I hope will be fixed with a patch, but it's a very great game, absolutely recommended!Read More"
217,"8fallen_hunterFeb 6, 2024A nice and enjoyable game! The graphics are good and the story is incredible!"
218,"2sidorenikFeb 5, 2024Как и все у юбисофт: на релизе куча багов. На текущий момент не пофикшены баги для получения платины."
219,"9MalBlancFeb 5, 2024The ensuing decade saw the series languish in obscurity until the emergence of Prince of Persia: The Lost Crown – a title that not only recaptures the magic of the classic Prince of Persia games but does so by embracing a 2D Metroidvania framework reminiscent of the series' 1989 roots.

Read more on MalViews"
220,"8Fab83Feb 5, 2024Une belle surprise ce prince of persia il y a quelques défauts mais surtout de très belles sensations manette en mais bravo Ubi."
221,"8GeraltRUSFeb 5, 2024Pleasent Metroid clone with awesome gameplay and good music. Fun and challenging bossbatle, interesting and rewarding exploration. Not interesting main story and more bad writing with boring charactecters tho. Solid 8."
222,"3PedroBonettFeb 5, 2024Un juego en 2,5D horrible no se puede comparar con starfield or  resident evil 2 remake. No. Es feo horrible. Esperando a que rebajen drastricamente el precio."
223,"5OndikFeb 4, 2024First half is awesome. But then it turns into platforming nightmare. Every turn, every path just long and frustrating platforming section"
224,"9jessejojoFeb 4, 2024The first Ubisoft game ive finished in over five years and easily the best game they have put out recently. This is an almost perfect metroidvania with a beautiful story, engaging combat, satisfying movement, challenging boss fights and memorable characters. I hope the game gets the attention it deserves and I would love to see a sequel.Read More"
225,"10Juju34Feb 2, 2024A genuine Masterpiece ! Ubisoft Montpellier has cooked something very special, both fresh and familiar ! Some platforming sequences and fights can be brutal but there's a ton of accessible options to adapt your skills. Love the boss fight so far and the score !!!"
226,"10SoulbeachFeb 2, 2024A perfect Gem ****!

Fantastic controls for navigating the treacherous environments and fighting the enemies populating them. Animations are superb, the storytelling is good, the ART really stands out and is magnificent.

It’s hard but the ""guided"" option seems to provide the Golden Path, thus you get the upgrades more rapidly and is a huge time saver if you can't spend 52 hours (Like I did) to complete the game.

This game deserves much more attention.

I know it’s crazy early in the year but it’s a GOTY (Game of the year) for me.Read More"
227,"10Dennidenito91Feb 2, 2024Amazing Metroidvania. Ubisoft seems on the right track. Fun gameplay, Solid Story, nice artwork."
228,"4TiaxTheMightyFeb 1, 2024I've played every single Prince of Persia game. This is by far and easily the absolute worst. I never had any difficulty issues in ANY of the other games. This one is nightmare fuel. Not to mention the difficulty is exacerbated by bugs. There's a mid-air dash that can be used to recover from hits... except I spent over an hour trying to complete this challenge in the training only to find the move was bugged.

The combat is needlessly difficult and focuses on sequences of 1-2 hit+dodge+1-2hit+dodge. There are cool acrobatic maneuvers and combos you can do. Truly some fun stuff.

The problem: They can only be performed on the absolutely weakest enemies that can be juggled. Enemies that you don't need to use these flashy moves on.  In addition to the majority of enemies being immune to being launched, there are also unstunnable enemies (and many enemies that are BOTH immune to being launched AND unstunnable) that, once again, rather than incentivize you, they *necessitate* the boring souls-like 1-2hit+dodge+repeat. 

I used to feel so stylish and badass when I played this game. I don't anymore. Every single fight is a struggle.

Traps: Traps are OKAY. If you even touch a trap in sequence, you are teleported to the beginning of the that particular sequence with some health shaved off.  However, there are far too many gotcha moments. 

There are times when you complete a particularly hard sequence and feel triumphant only for a chest to be a mimic that starts attacking you, has way too much health, can't be juggled, is immune to stun, and the attack's telegraph is a red line going horizontally across the screen. Easy, right? Nope. This move is a 50/50. The mimic either launches horizontally across the room - requiring you to jump - OR the mimic launches projectiles vertically into the air - hitting you if you jump. 

I completed 40% of this game before I gave up in utter disgust. I guess every beloved franchise eventually turns to ****.

I recommend this game only if you're an utter masochist who beats most games on the highest difficulty and can input 11 different button combinations in under a second, and have incredible eyes that can track the tiniest of movements and react instantly.

Oh and the story is really disappointing though I don't expect many people to care due to the type of game this is.Read More"
229,"10skyradaFeb 1, 2024Jogo sensacional! Mitologia muito boa, com muita interação e um nível de dificuldade bom!"
230,"8MurphyBrandonJan 30, 2024The new Prince of Persia game excels in challenging combat and precise platforming. It feels good to play as Sargon because he's fast and acrobatic. His special abilities add even more style to the action. However, your timing of dodges, jumps, and parries is still the most pivotal thing that will determine victory or defeat. 

Even with its simple story, The Lost Crown kept me engaged by slowly revealing the characters' motives and throwing in a few interesting twists. It features scenes that appear like an animated film, which is rare for the metroidvania genre. Plus, those scenes develop the plot quickly and let you get back into the action right away. They don't waste your time.Read More"
231,"10JuSamaJan 30, 2024Não sou muito fan do estilo de jogo Metro, mas Prince of Persia acabou me conquistando, ainda mais com sua dificuldade mil."
232,"10DrPouleyJan 30, 2024Exceptionnal game. Every power feels like a new way to fight or move around, it's empowering and soooo exciting ! Everything is perfectly balanced and i never feel like i'm losing my time, like in other metroidvanias, just trying to guess where i should go. This game values my time, without making it easy on me. Just the right balance between challenging and approchableRead More"
233,"10IxJan 29, 2024C'est trop bien !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!et trop beau"
234,"8PlatinumReviewsJan 29, 2024Prince of Persia: The Lost Crown ReviewPrince of Persia the Lost Crown is the latest installment from the long running series Prince of Persia by Ubisoft. This time around you play as Sargon an Immortal Guard sworn to protect the royal family of Persia. However, when the crown is betrayed, and the prince is kidnapped it is up to Sargon and the other Immortal’s to rescue him. If only things could be that easy. The prince is taken to an ancient temple where things are not quite what they seem. Time and reality bends outside the laws of physics, things are not what they seem. Can Sargon rescue the prince or is there more impending danger in store for him? Overall, the story of The Lost Crown was enjoyable. With betrayal, twists, and great side characters pacing perfectly between the short stories. I can’t say it will leave you wanting to experience it again however, some of the side characters would make for some entertaining DLC. The Lost Crown is a 2D platformer Metroidvania style game, if you do not know what that means than let me explain. Metroidvania is a genre of game which mixes Metroid and Castlevania gameplay. Typically, in these games you have an enormous map with bits and pieces being unable to be explored. As you progress through the game you are welcomed with new abilities that allow you access to these previously unobtainable areas. These areas feature treasures, abilities, or a new path to continue the story. As Metroidvania games go this one definitely ticks all the boxes of what makes this style of game so great. The map isn’t overly huge to where you don’t want to explore it all. The puzzle areas while some can be hard, aren’t too complex to where you don’t want to complete them. While on the subject puzzles I think Ubisoft did a fantastic job at the puzzle sections of this game. With just the right amount of challenge, you will be testing your wits as you try and complete these fantastically laid out puzzle sections. These only get better when they add in the new abilities that you get while progressing through the game. Getting a new unique ability and being able to see the many ways you could use it while doing these puzzles was one of my favorite parts of this game. The Lost Crown’s combat is very fluid. Early on I felt like it was too simplistic with a lot of the first few hours being just tapping square as I fought enemies. As you get further in and unlock new abilities you are greeted with a unique combat style that does a great job at not becoming stale. These new abilities are unlocked at a good pace in contrast to the story. With each new ability adding to your overall arsenal and allowing for some pretty cool combinations of attacks. Within the realm of combat is the boss fights, which was probably my favorite part of the game. Each boss fight felt completely different from the last one. Yes, most of these were challenging however, it was a blast trying to figure out the patterns of attacks and the perfect timing to unleash combos on these bosses.  Now before we finish this up let’s talk about the issues with the game. Prince of Persia has a good number of bugs and glitches that I ran across that really affected its score. Simple issues like enemies falling into the ground or game crashes is just the starting point. I had it to where I accepted a quest, and the game just froze up on me. Another part where the background disappeared and my character just floated until ultimately, he just froze, forcing me to quit and reopen the game. Interacting with chests requires a simple press of up on the right joystick, however this would require multiple swipes up or moving away from the chest and going back. This is just to name a few of the many issues I ran into during my 14 hours with the game. Overall, I enjoyed my time with Prince of Persia: The Lost Crown. The story was good, combat while starting off bland managed to become enjoyable after a bit. The game features unique and exciting boss fights and is a well-paced adventure that doesn’t overstay it’s welcome. The game falters quite a bit with how unpolished it is. From the numerous bugs and glitches that caused way too many headaches, to the game crashes that took away from the overall experience of the game. I would suggest Prince of Persia: The Lost Crown but you may give it a bit for the issues to be patched. I would give Prince of Persia: The Lost Crown a 7.5 out of 10... 8 since Metacritic doesn't allow half scores.Read More"
235,"10Milansan777Jan 29, 2024They absolutely nailed it! Such a ""non-ubisoft"" **** thats a compliment but so it is! If you loved Ori you will love this! And the abilities you gain truly makes progression something sought after!"
236,"9frankzangJan 27, 2024An absolute masterpiece of a metroidvania, the exploration is neat with a lot of entertaining  and challenging puzzles and the combat mechanics is very satisfying with different combinations of powers that allow for unique gameplay styles. Ubisoft did a truly great job with this one!"
237,"10SharprubenJan 27, 2024I haven play a game this good in a long time I really enjoyed it until the end."
238,"10HipHopHead911Jan 27, 2024This is everything a dope metroidvania should be. The folks at Ubisoft Montpellier made a gem. Which is shocking coming from Ubisoft. But this game is phenomenal. The combats fluid and great. The Metroid/Castlevania elements are dope. The power ups are awesome. The map is so big. Side quests aren’t mainly fetch quests. The difficulty is challenging just enough to where you can maintain after learning enemy patterns. Amazing game everyone should check out if you are into Metroidvanias. This was a great kick off to this years crazy gaming lineup. I recommend it to everyone to be honest.Read More"
239,"10Wyvrn13Jan 26, 2024I'm 6 hours in and I've basically had a flawless experience. Game controls great with great combat mechanics, has a great story, a ton of secrets to find, amazing boss-fights. Every possible expectation I could have had has been surpassed."
240,"7ArabGamerJan 26, 2024after more than a decade waiting for the franchise the comeback while no one would anticipate it to be back as 2D platforming game.I enjoyed the combat it s fresh fast and get really interesting as you gain up skills and learn new moves.Loved the boss battles. Platforming is a bit  annoying but  really awarding when you overcome the obstacles. However, I did not like the animation and environmental  design it felt so outdated and the characters looked so ugly. the story is mild and there is no character development so you kind of focus on the gameplay and not care about any of the charactersRead More"
241,"10SINAFARDJan 25, 2024I enjoyed Prince of Persia the lost Crown very much and it became a special translation for me because this game had a Persian dubbing and made my experience as an Iranian gamer deeper. I think this game is a complete and perfect Metroidvania. The design of the stages, the soundtrack, the combat system and the design of the game world inspired by ancient Iran and the stories of Ferdowsi's Shahnameh make this version much more special.Read More"
242,"10sefpancuJan 25, 2024Pros
Top-class platform mechanics and gameplay.
Excellent episode and enemy designs.
Interesting story.
Very good game duration.

Cons,
Expensive."
243,"10JockelzFJan 25, 2024What a nice surprise. Ubisoft delivers one of the best metroidvanias of all time."
244,"10StrohbiJan 25, 2024Game is just stunningly beautiful, controls make my brain tingle just the right way, the world and story within are actually interesting and I just really have a ton of fun playing this game. Well done Ubisoft! So cool to let the rayman guys take on Prince of Persia! And they showed great taste and took their inspirations from all the right games. All here for that kind of stuff! Thanks!Read More"
245,"2PerknutzJan 25, 2024Just terrible. Franchise has take a huge step backwards. We're suppose to upgrading in the new gen not going backwards"
246,"10Redstar79Jan 25, 2024Absolute perfection!  One of the best platforming games I’ve played in years."
247,"1ArthurFranckJan 25, 2024Worst PS2 graphics game.There is not playability.They don't think about level design, some parts of the game are awful.I'm playing at Ubisoft+, but if I had bought this game at full price I be really regret it."
248,"9ChromaticaaJan 24, 2024Let us celebrate the fact that Ubisoft has managed to churn out something like this. Prince of Persia The Lost Crown is the best game they have made in years! It is a treat to play on the PS5 at 4k 120fps. Sadly I'm unable to attain 100% game completion due to a side quest bugging in the game but I remain hopeful Ubisoft Montpellier will patch this.Read More"
249,"9SousinhaJan 24, 2024What a amazing and fun game, at all levels, this is a must play game. Only the price could be a bit lower."
250,"10afrancesco999Jan 24, 2024Prince of Perisa The Lost Crown is the perfect proof not only of the quality that the Ubisoft Montreal studio is capable of cooking, but of what Ubisoft itself for many years, apart from the Mario + Rabbids cases, has failed to demonstrate it has Instead. A fresh title, which partly revolutionizes even the metroidvania genre, which winks at the origins of the franchise, with a depth of combat that is unmatched in the genre, an incredible soundtrack and an intriguing story. The voices of the characters are perfect and the use of the Farsi language (the Persian language) is a gem, well done. Who knows where the franchise will go after this title; anxiously waiting for the remake of Sands of Time. Congratulations Ubisoft, you have amazed us all and you deserve the great reception this game is having. You have to continue like this, even with these titles which, although small, diversify from the classic formula and are a unique and original experience.Read More"
251,"10JagWarJan 24, 2024This is going down as one of my favourite metroidvania games of all time. Up there with Castlevania SOTN, Super Metroid, and Hollow Knight. This is also a chunky game. There is a lot to do, you will def get your money's worth. POP is back and is better than ever."
252,"10PouyarnirJan 23, 2024GooooooodThank you for using Farsi dubbing and subtitles مرسی بابت استفاده از زبان پارسی"
253,"10ShayanazJan 23, 2024Its one of the best games of 2023 and i hope ubisoft make sequel of this series because it has a great potential and its so great that they added persian(farsi) language and subtitle and i hope they continue this road"
254,"10jojo83Jan 23, 2024Perfect gameplay with many sequence: platform, exploration, puzzle... The only metroidvania withso many styles included. Good job Ubisoft Montpellier."
255,"10mrmrmrJan 23, 2024I hope the game developers will add Persian language for other games. thank you ️"
256,"10Hosseinkd35Jan 23, 2024[SPOILER ALERT: This review contains spoilers.]Read More"
257,"10WorfyJan 23, 202410 out of 10 simple as that .  Do belive even for a AA game whe have a GOTY contender right here at the start of the year.

Ubisoft hit the mark whit this one"
258,"9Garlic_gddssJan 22, 2024the xss vision should have higher graphic setting, even ps4pro can do better in some time"
259,"10JubasiJan 22, 2024My god, i love this game. Every part of it.
Combat, plateforming, Puzzles, landscapes, bosses, **** not sleep on this game guys, 
A must play ! 
I truly think we will hear about this game by the end of the year for the game award"
260,"7CindercharJan 22, 2024I think this game started out more of an 8 or 9, and then dropped to a 4 or 5 later in the game. The story is not what you really play this kind of game for so it was serviceable. The combat and platforming in the early and mid game are really well done. It felt balanced and fair. Early and mid game bosses felt balanced and fair. It took multiple times to learn attack patterns and adapt. But the late game is where this all falls apart. Bosses become unbearable unless you drop the settings down. Some of the platforming and puzzles are just absurd. This was never my style of game to begin with but since it was done by Ubi and the art and gameplay caught my eye, I thought I would give it a try. And my consensus is simply the game is fun and engaging up to a certain point and then obnoxiously frustrating in the end. I will never buy another game in the style again. Just be warned that if platformers aren't your thing, this game will eventually become irritating to finish.Read More"
261,"10DRya85Jan 22, 2024Hey Ubisoft,I played POP the lost crown,I really enjoyed it.that was fantastic, specially Farsi dub and subtitles.over all thanks for this experience that you created for us , by the way ,It was the first game which has Farsi dub and subtitles. We like to play your games at least with Farsi subtitles."
262,"10HerraezJan 22, 2024It is the perfect comeback for a most-beloved series. I am looking forward to future instalments of the Prince of Persia saga!"
263,"10MAhdiMGSJan 22, 2024Thank you ubisoft for adding Persian language to this amazing game.
I hope in the future all video game companies consider adding persian language"
264,"10Shoya2003mJan 22, 2024I played the game and the only thing I can say is that this game is amazing and the experience with Farsi was very good"
265,"10yaguljaJan 22, 2024Holy macaroni was I not expecting this. Creme de la creme in every aspect: art design, graphics, sound, gameplay, map, navigation, powers, progression you name it. Prince of Persia: The Lost Crown? More like Prince of Persia: Here is Your Crown."
266,"10AliDashJan 22, 2024Fantastic Gameplay and art style. 
and the Persian Dub is such a nice experience"
267,"10farzadking69789Jan 22, 2024[SPOILER ALERT: This review contains spoilers.]Read More"
268,"10Joshy_Jan 22, 2024This game really nails its combat and boss fights. The art style of this game is also **** awesome Ubisoft game after a long,long time."
269,"10smaminshJan 21, 2024I am very grateful to Ubisoft for finally using and supporting the Persian(Farsi) language"
270,"10EdenaRuh94Jan 21, 2024Imprescindible, si te gustan los metroidvanias a la vieja usanza. Ya empieza el 2024 fuerte."
271,"8royalguy07Jan 21, 2024Exellent, if standard, metroidvania with insanely fluid motion and traversal mechanics and strong combat. While the PS2-ish era story and characters leave a little to be desired there is no doubting the moment to moment fun to be had here.A complete, and welcome, overhaul of the Prince of Persia series."
272,"5RiffMachineJan 21, 2024The platforming alone is hindered by having to use the analog stick for movement rather than the D-Pad.  Good job giving gamers the option to switch...  Note sarcasm."
273,"10MDmohammadJan 21, 2024One of the best Metroidvina style games and of course Iranian , Thanks to Ubisoft for making this game"
274,"10MargBaardJan 21, 2024This game is my very first Metroid Vania, and my first 2D platformer in a long time. I'm one of those people who, not being used to the genre, might have been skeptical, but I was right to take the plunge, because Prince of Persia made me want to dive into the Metroid Vania genre. I think it can only be the mark **** game to make you want to play it again, or discover other games that come close!

Focusing on gameplay now: the gameplay is lively, and there's never a dull moment. The map exploration is top-notch, the platforming sections challenging but with a clever progression that makes the whole thing super enjoyable. The combat system is super-deep and satisfying, pushing us to adapt to different bosses and enemies.

The story takes the codes of Shonen, you follow the build up of a hero, so it's efficient!

In short, a huge favorite.Read More"
275,"10Ahmad1386Jan 21, 2024[SPOILER ALERT: This review contains spoilers.]Read More"
276,"10CraggerJan 21, 2024This game is AMAZING. You can really see that they put effort in the game. Also, you can play it in Persian which is like wow."
277,"10Thegame9898Jan 21, 2024Best story dialog and gameplay persian language is amazing we hope add persina language to all games"
278,"10TahaCypherJan 21, 2024Very satisfying game
Smooth parkour
Smoother combat and battle
And another good point in this game is Farsi dubbed it's very perfect & clear"
279,"10So-hellJan 21, 2024The level design and gameplay were really great. Persian dubbing and subtitles were an interesting experience."
280,"10FF_ArsiJan 21, 2024بسیار بازی عالی و تمدن ایران را به نمایش میگذارد
بازی بصورتدو بعدی و حتی سه بعدی است"
281,"10JrhanburyJan 21, 2024Really fun game to play. Very smooth and moves at a good pace. Pleased to have Prince of Persia back."
282,"10AtaRouhiJan 21, 2024Prince of Persia: The Lost Crown is a true masterpiece that successfully breathes new life into a beloved gaming franchise. The captivating gameplay, stunning visuals, and intricate combat mechanics make it a must-play for both nostalgic fans and newcomers alike. The metroidvania-style exploration is a testament to Ubisoft's commitment to delivering a rich and immersive gaming experience. The game's reimagined world, filled with challenges and enemies, provides an engaging and rewarding adventure. Despite some initial simplicity in the platforming, it evolves into a deeply satisfying journey. A triumph in game design, Prince of Persia: The Lost Crown deserves a solid 10 out of 10 for its outstanding revival and execution.Read More"
283,"10NPDARKGAMERJan 21, 2024If you are new into Prince of Persia Don't Worry You Don't need to Know anything its completely new game, I would say it literally the best Ubisoft game after almost a decade I hope they keep making these types of games
And can't wait for sequel"
284,"10GrambohJan 21, 2024Perfect 
game for the revival of the Prince of Persia franchise. Combat feels smooth and is fast paced, keeps getting more enjoyable the longer you play. Exploration in this metroidvania like game is very well done, and keeps you wondering what is next to discover.

Great story, great combat, great atmosphere.
The first must play game of 2024!Read More"
285,"10Amir3350Jan 21, 2024Persian awesome gameplay and storyLove  ubisoft  realize more game with Persian Language"
